Postal code;Lat;Long
1402;50.589.972.355.763.300;4.378.963.304.808.160
2323;5.139.956.728.747.590;480.967.875.034.335
2400;51.241.515.872.832.300;51.221.318.711.285.900
5376;5.036.785.139.207.580;5.243.183.871.046.590
5530;50.335.959.831.796.700;4.980.740.469.908.010
5573;50.126.433.277.720.000;5.007.125.330.137.930
5361;5.030.908.081.792.320;52.131.611.317.320.800
3600;50.967.174.345.910.700;54.949.237.804.863.400
3700;50.781.684.646.613.500;5.466.938.591.585.190
3990;5.111.022.210.934.620;5.454.253.657.474.960
8000;51.232.646.001.171.400;32.071.828.570.336.300
8400;51.204.054.302.137.800;2.920.364.240.174.510
8431;5.117.815.500.112.930;28.368.380.598.056.200
8572;50.814.377.568.247.100;3.494.571.566.290.150
8630;51.044.271.735.015.700;26.418.910.560.283.200
8670;51.121.346.604.412.900;2.700.626.980.557.320
6671;5.022.726.344.766.780;592.961.403.178.149
6810;4.968.602.194.700.260;5.370.379.239.265.890
6832;4.981.947.922.854.710;5.072.301.176.633.260
6952;5.014.607.474.972.470;53.926.796.747.107.100
6953;50.130.211.961.412.900;52.831.318.208.857.100
1745;5.096.521.724.874.240;41.822.995.567.601.100
9930;5.111.772.486.118.310;3.561.101.157.171.580
5334;5.037.302.188.907.320;5.072.746.307.457.640
3545;5.093.999.683.513.800;5.096.551.633.664.310
3001;5.085.734.711.667.340;4.691.098.755.030.860
9050;5.103.750.198.876.650;37.710.482.317.047.200
9890;5.091.707.954.807.090;37.078.450.201.871.100
4530;50.593.163.322.500.000;5.222.214.523.554.700
4252;50.654.053.967.275.500;51.982.663.884.154.800
4783;5.026.463.755.987.930;6.180.688.245.608.360
